x,y,z,36,broad_category
64.0,49.0,150.0,../datasets/Driving/Dataset driving 2.csv,Driving
111.0,61.0,105.0,../datasets/Driving/Dataset driving 2.csv,Driving
408.0,63.0,516.0,../datasets/Driving/Dataset driving 2.csv,Driving
79.0,24.0,55.0,../datasets/Driving/Dataset driving 2.csv,Driving
109.0,55.0,59.0,../datasets/Driving/Dataset driving 2.csv,Driving
102.0,69.0,73.0,../datasets/Driving/Dataset driving 2.csv,Driving
81.0,67.0,117.0,../datasets/Driving/Dataset driving 2.csv,Driving
132.0,65.0,56.0,../datasets/Driving/Dataset driving 2.csv,Driving
78.0,51.0,78.0,../datasets/Driving/Dataset driving 2.csv,Driving
75.0,75.0,135.0,../datasets/Driving/Dataset driving 2.csv,Driving
77.0,28.0,70.0,../datasets/Driving/Dataset driving 2.csv,Driving
54.0,60.0,86.0,../datasets/Driving/Dataset driving 2.csv,Driving
40.0,62.0,133.0,../datasets/Driving/Dataset driving 2.csv,Driving
76.0,56.0,37.0,../datasets/Driving/Dataset driving 2.csv,Driving
